R,M
17.725,0.11186482256525095
17.375,0.11488727315131295
17.051,0.11798713996133836
16.752,0.12116715455680845
16.474,0.12442792145420489
16.216,0.12777225880877274
15.977,0.1312008202822199
15.754,0.13471640426543016
15.547,0.1383198857944204
15.353,0.142013771959401
15.172,0.14579950347842802
15.004,0.1496789196698273
14.846,0.15365437231546908
14.698,0.15772699744012972
14.56,0.16189971298508948
14.431,0.16617362818711243
14.31,0.17055132209482096
14.197,0.17503485023787527
14.091,0.1796257195295519
13.991,0.1843267509530303
13.898,0.18913924163770557
13.811,0.19406545357940408
13.729,0.19910774522287872
13.652,0.2042673399766145
13.581,0.2095465976416241
13.514,0.21494762794594796
13.451,0.2204717622271288
13.393,0.22612132278574548
13.338,0.23189824751534607
13.287,0.2378036162404171
13.24,0.24383905716157
13.196,0.2500060823740422
13.155,0.2563057001366336
13.117,0.26273904286487265
13.082,0.2693075056286533
13.049,0.2760126488467925
13.019,0.2828559769390426
12.992,0.2898392915916208
12.966,0.2969647881500445
12.943,0.3042345658768402
12.922,0.3116506989383416
12.903,0.3192149878544557
12.885,0.32692934353763536
12.87,0.3347957103297365
12.856,0.3428159719856733
12.843,0.35099201987255435
12.832,0.3593257306499758
12.823,0.3678189214557459
12.814,0.3764733182195691
12.807,0.3852907183478852
12.802,0.3942728821839122
12.797,0.4034215271189787
12.794,0.4127383228894996
12.791,0.42222486684151317
12.79,0.4318826846444988
12.789,0.44171323020602077
12.79,0.4517178908498852
12.791,0.46189798296001977
12.793,0.4722547552673965
12.796,0.48278939335291376
12.799,0.49350299936662684
12.803,0.504396587617921
12.808,0.5154710703706106
12.813,0.5267272433962025
12.819,0.5381657700262764
12.826,0.5497871835383541
12.832,0.5615918965507604
12.84,0.5735801873345294
12.848,0.5857522113557599
12.856,0.5981080161711648
12.864,0.6106475607359853
12.873,0.62337058141557
12.882,0.6362766510977174
12.891,0.6493651686197366
12.901,0.6626353597739941
12.911,0.6760864032224858
12.921,0.6897173070439736
12.931,0.7035267602928318
12.941,0.7175132467980656
12.951,0.7316752210923086
12.962,0.7460109844215472
12.972,0.7605184135064974
12.983,0.775195266673212
12.993,0.7900393421664559
13.004,0.8050478793218871
13.014,0.820218068522424
13.024,0.8355470255682113
13.035,0.8510313103244945
13.045,0.8666676859943419
13.055,0.8824523138983157
13.064,0.8983814376873399
13.074,0.9144508690768356
13.083,0.9306563872508201
13.092,0.9469933858916735
13.101,0.963457241389085
13.11,0.9800428411559444
13.118,0.9967451474528255
13.126,1.0135586238333625
13.134,1.030477721356417
13.142,1.047496699103684
13.149,1.06460943842652
13.155,1.0818097708499903
13.161,1.0990913106918503
13.167,1.1164474131778337
13.173,1.1338712523821282
13.178,1.1513558742663814
13.182,1.1688941328945408
13.186,1.1864787079046415
13.19,1.204102112013426
13.193,1.2217566995548697
13.195,1.2394346795882674
13.197,1.2571281296020878
13.199,1.274828997911153
13.2,1.2925291189406085
13.2,1.3102202128862899
13.2,1.3278938998247574
13.199,1.3455417110550343
13.198,1.3631550955014706
13.195,1.38072543214043
13.193,1.3982440379928325
13.189,1.4157022136892918
13.186,1.4330912203013293
13.181,1.4504022652035025
13.176,1.4676265832813844
13.17,1.4847554150493587
13.163,1.5017799753013712
13.156,1.5186915721936793
13.148,1.5354814907502552
13.14,1.552141127792731
13.13,1.5686619081942348
13.12,1.5850353484393505
13.11,1.601253073138345
13.098,1.6173067892419364
13.086,1.6331883248945789
13.074,1.6488896443322651
13.06,1.664402846526764
13.046,1.6797201888573994
13.031,1.6948340821126857
13.016,1.7097371154994934
13.0,1.7244220627166524
12.983,1.7388818893893752
12.965,1.753109764607625
12.947,1.7670990703951246
12.928,1.7808432590373684
12.908,1.7943363671325925
12.888,1.8075744744124282
12.867,1.8205411653358694
12.845,1.8332111746287965
12.823,1.845565289913305
12.8,1.8575932970909237
12.776,1.8692896762932263
12.752,1.88065044262708
12.727,1.8916729818355298
12.701,1.9023552295010073
12.675,1.912694548270881
12.648,1.9226895034064746
12.62,1.9323400591752544
12.592,1.9416468672663536
12.563,1.9506111196566074
12.534,1.9592344214960542
12.504,1.9675187211081238
12.473,1.975466239587055
12.442,1.9830792856689243
12.41,1.990360627498552
12.378,1.9973132256557649
12.349,2.002622367578392
12.32,2.0058763929060914
12.289,2.008540692972419
12.256,2.010774100710096
12.222,2.0126676808112607
12.186,2.0142755734684705
12.15,2.015634487222461
12.112,2.016768730647848
12.073,2.0177064291213758
12.034,2.0184569553890634
11.994,2.019034078567117
11.953,2.0194415480971526
11.912,2.0196935566066623
11.87,2.01978675621124
11.828,2.0197346118361033
11.785,2.019533599039336
11.742,2.019190908098174
11.698,2.0187076629352276
11.654,2.018085724905659
11.61,2.017328293996362
11.566,2.016437350045717
11.521,2.0154021340329926
11.476,2.0142371785679596
11.431,2.0129426125290006
11.386,2.0115116229800294
11.34,2.0099433644584246
11.295,2.0082520690106263
11.249,2.0064247432611295
11.204,2.0044670361533514
11.158,2.002371880252326
11.113,2.000154728682333
11.067,1.997800457196362
11.021,1.995322031309383
10.975,1.9927077486581901
10.93,1.9899699526447854
